,axis:latitude,axis:longitude,axis:time,data:Water_Thickness
68,15.5,-15.500000000000028,2006-09-17T00:00:00,10.522807121276855
69,15.5,-15.500000000000028,2006-10-18T00:00:00,5.8712334632873535
70,15.5,-15.500000000000028,2006-11-17T00:00:00,2.452254056930542
71,15.5,-15.500000000000028,2006-12-17T00:00:00,0.709894061088562
72,15.5,-15.500000000000028,2007-01-16T00:00:00,-0.4713032841682434
73,15.5,-15.500000000000028,2007-02-16T00:00:00,-1.453389286994934
74,15.5,-15.500000000000028,2007-03-18T00:00:00,-2.378389358520508
75,15.5,-15.500000000000028,2007-04-18T00:00:00,-3.0689384937286377
76,15.5,-15.500000000000028,2007-05-18T00:00:00,-3.3554508686065674
77,15.5,-15.500000000000028,2007-06-18T00:00:00,-3.4338154792785645
78,15.5,-15.500000000000028,2007-07-18T00:00:00,-2.6799590587615967
79,15.5,-15.500000000000028,2007-08-18T00:00:00,3.4006638526916504
80,15.5,-15.500000000000028,2007-09-17T00:00:00,6.959254264831543
81,15.5,-15.500000000000028,2007-10-18T00:00:00,4.285299301147461
82,15.5,-15.500000000000028,2007-11-17T00:00:00,2.0760984420776367
83,15.5,-15.500000000000028,2007-12-17T00:00:00,1.5345678329467771
84,15.5,-15.500000000000028,2008-01-16T00:00:00,1.5199549198150637
85,15.5,-15.500000000000028,2008-02-16T00:00:00,0.2560778558254242
86,15.5,-15.500000000000028,2008-03-17T00:00:00,-1.17420494556427
87,15.5,-15.500000000000028,2008-04-17T00:00:00,-2.0369057655334477
88,15.5,-15.500000000000028,2008-05-17T00:00:00,-2.5427212715148926
89,15.5,-15.500000000000028,2008-06-17T00:00:00,-2.393229484558105
90,15.5,-15.500000000000028,2008-07-17T00:00:00,0.6220040917396545
91,15.5,-15.500000000000028,2008-08-17T00:00:00,7.967016220092773
92,15.5,-15.500000000000028,2008-09-16T00:00:00,12.789175987243652
93,15.5,-15.500000000000028,2008-10-17T00:00:00,9.05362319946289
94,15.5,-15.500000000000028,2008-11-16T00:00:00,4.80446720123291
95,15.5,-15.500000000000028,2008-12-17T00:00:00,2.408299207687378
96,15.5,-15.500000000000028,2009-01-16T00:00:00,1.4589262008666992
97,15.5,-15.500000000000028,2009-02-16T00:00:00,-0.1309836059808731
98,15.5,-15.500000000000028,2009-03-18T00:00:00,-1.5046967267990112
99,15.5,-15.500000000000028,2009-04-18T00:00:00,-2.3256680965423584
100,15.5,-15.500000000000028,2009-05-18T00:00:00,-2.775639295578003
101,15.5,-15.500000000000028,2009-06-18T00:00:00,-2.859250068664551
102,15.5,-15.500000000000028,2009-07-18T00:00:00,-0.6902909874916077
103,15.5,-15.500000000000028,2009-08-18T00:00:00,11.475016593933104
104,15.5,-15.500000000000028,2009-09-17T00:00:00,14.734319686889648
105,15.5,-15.500000000000028,2009-10-18T00:00:00,7.969602584838867
106,15.5,-15.500000000000028,2009-11-17T00:00:00,6.488340377807617
107,15.5,-15.500000000000028,2009-12-17T00:00:00,6.5326738357543945
108,15.5,-15.500000000000028,2010-01-16T00:00:00,4.288172245025635
109,15.5,-15.500000000000028,2010-02-16T00:00:00,2.110581874847412
110,15.5,-15.500000000000028,2010-03-18T00:00:00,0.3407254219055176
111,15.5,-15.500000000000028,2010-04-18T00:00:00,-0.6426598429679871
112,15.5,-15.500000000000028,2010-05-18T00:00:00,-1.1919630765914917
113,15.5,-15.500000000000028,2010-06-18T00:00:00,-1.3579672574996948
114,15.5,-15.500000000000028,2010-07-18T00:00:00,3.986135244369507
115,15.5,-15.500000000000028,2010-08-18T00:00:00,8.61884880065918
116,15.5,-15.500000000000028,2010-09-17T00:00:00,14.389352798461914
117,15.5,-15.500000000000028,2010-10-18T00:00:00,7.595553398132324
118,15.5,-15.500000000000028,2010-11-17T00:00:00,3.995712995529175
119,15.5,-15.500000000000028,2010-12-17T00:00:00,2.749478816986084
