,axis:time0_lat_lon:latitude,axis:time0_lat_lon:longitude,axis:time0_lat_lon:time,axis:time0_lat_ocean_lon_ocean:latitude,axis:time0_lat_ocean_lon_ocean:longitude,axis:time0_lat_ocean_lon_ocean:time,axis:time1_lat_lon:latitude,axis:time1_lat_lon:longitude,axis:time1_lat_lon:time,data:air_pressure_at_mean_sea_level,data:air_temperature_at_2_metres,data:air_temperature_at_2_metres_1hour_Maximum,data:air_temperature_at_2_metres_1hour_Minimum,data:dew_point_temperature_at_2_metres,data:eastward_wind_at_100_metres,data:eastward_wind_at_10_metres,data:integral_wrt_time_of_surface_direct_downwelling_shortwave_flux_in_air_1hour_Accumulation,data:lwe_thickness_of_surface_snow_amount,data:northward_wind_at_100_metres,data:northward_wind_at_10_metres,data:precipitation_amount_1hour_Accumulation,data:sea_surface_temperature,data:sea_surface_wave_from_direction,data:sea_surface_wave_mean_period,data:significant_height_of_wind_and_swell_waves,data:snow_density,data:surface_air_pressure
46,15.5,-15.500000000000028,1979-01-02T22:00:00,,,,,,,101334.875,293.625,,,270.75,-5.3125,-1.875,,0.0,-4.0,-1.9375,,,,,,100.0,100859.1875
47,15.5,-15.500000000000028,1979-01-02T23:00:00,,,,,,,101338.0,293.4375,,,270.9375,-5.3125,-1.8125,,0.0,-4.3125,-2.0625,,,,,,100.0,100861.84375
48,15.5,-15.500000000000028,1979-01-03T00:00:00,,,,,,,101303.375,293.3125,,,272.9375,-5.375,-1.8125,,0.0,-4.5,-2.125,,,,,,100.0,100826.5625
49,15.5,-15.500000000000028,1979-01-03T01:00:00,,,,,,,101232.3125,293.1875,,,272.875,-5.5625,-2.0,,0.0,-4.8125,-2.3125,,,,,,100.0,100754.796875
50,15.5,-15.500000000000028,1979-01-03T02:00:00,,,,,,,101225.1875,293.0625,,,272.6875,-5.8125,-2.125,,0.0,-5.125,-2.5,,,,,,100.0,100746.390625
51,15.5,-15.500000000000028,1979-01-03T03:00:00,,,,,,,101209.4375,289.0,,,271.5,-5.8125,-2.1875,,0.0,-5.1875,-2.5625,,,,,,100.0,100730.5234375
52,15.5,-15.500000000000028,1979-01-03T04:00:00,,,,,,,101188.625,289.0,,,271.4375,-6.125,-2.375,,0.0,-5.1875,-2.5625,,,,,,100.0,100708.0546875
53,15.5,-15.500000000000028,1979-01-03T05:00:00,,,,,,,101241.1875,289.125,,,271.375,-6.5,-2.625,,0.0,-4.875,-2.4375,,,,,,100.0,100760.40625
54,15.5,-15.500000000000028,1979-01-03T06:00:00,,,,,,,101258.9375,289.25,,,271.375,-6.9375,-2.875,,0.0,-4.5625,-2.25,,,,,,100.0,100777.78125
55,15.5,-15.500000000000028,1979-01-03T07:00:00,,,,,,,101300.625,289.3125,,,271.3125,-7.0,-2.875,,0.0,-4.0,-2.0,,,,,,100.0,100817.6875
56,15.5,-15.500000000000028,1979-01-03T08:00:00,,,,,,,101354.1875,289.375,,,271.3125,-6.9375,-3.0625,,0.0,-3.5,-1.8125,,,,,,100.0,100871.390625
57,15.5,-15.500000000000028,1979-01-03T09:00:00,,,,,,,101426.5,292.9375,,,263.9375,-6.375,-3.5625,,0.0,-2.6875,-1.75,,,,,,100.0,100942.625
58,15.5,-15.500000000000028,1979-01-03T10:00:00,,,,,,,101447.0,299.4375,,,267.75,-5.0625,-3.6875,,0.0,-1.75,-1.375,,,,,,100.0,100963.7890625
59,15.5,-15.500000000000028,1979-01-03T11:00:00,,,,,,,101415.25,303.8125,,,271.25,-4.9375,-3.875,,0.0,-1.625,-1.375,,,,,,100.0,100933.96875
60,15.5,-15.500000000000028,1979-01-03T12:00:00,,,,,,,101396.9375,304.125,,,271.4375,-4.5,-3.625,,0.0,-1.5625,-1.3125,,,,,,100.0,100917.5625
61,15.5,-15.500000000000028,1979-01-03T13:00:00,,,,,,,101290.6875,304.3125,,,271.5,-4.3125,-3.5,,0.0,-1.375,-1.1875,,,,,,100.0,100813.984375
62,15.5,-15.500000000000028,1979-01-03T14:00:00,,,,,,,101132.75,304.375,,,271.4375,-4.0625,-3.3125,,0.0,-1.0625,-0.875,,,,,,100.0,100657.890625
63,15.5,-15.500000000000028,1979-01-03T15:00:00,,,,,,,101084.5625,306.25,,,273.25,-3.4375,-2.8125,,0.0,-1.0625,-0.875,,,,,,100.0,100610.328125
64,15.5,-15.500000000000028,1979-01-03T16:00:00,,,,,,,101003.1875,306.125,,,273.1875,-2.875,-2.375,,0.0,-1.125,-0.9375,,,,,,100.0,100529.875
65,15.5,-15.500000000000028,1979-01-03T17:00:00,,,,,,,101025.4375,306.0625,,,272.5,-2.8125,-2.25,,0.0,-1.3125,-1.0625,,,,,,100.0,100551.6796875
66,15.5,-15.500000000000028,1979-01-03T18:00:00,,,,,,,101026.1875,305.1875,,,266.6875,-2.8125,-1.4375,,0.0,-1.9375,-1.1875,,,,,,100.0,100552.65625
67,15.5,-15.500000000000028,1979-01-03T19:00:00,,,,,,,101104.9375,301.875,,,271.0,-3.0625,-1.875,,0.0,-3.1875,-2.4375,,,,,,100.0,100631.328125
68,15.5,-15.500000000000028,1979-01-03T20:00:00,,,,,,,101149.875,301.0625,,,270.875,-4.4375,-1.8125,,0.0,-4.5,-2.125,,,,,,100.0,100676.125
69,15.5,-15.500000000000028,1979-01-03T21:00:00,,,,,,,101226.1875,295.8125,,,269.5625,-5.0625,-1.9375,,0.0,-5.0,-2.125,,,,,,100.0,100751.90625
70,15.5,-15.500000000000028,1979-01-03T22:00:00,,,,,,,101281.625,293.8125,,,272.5625,-5.375,-1.9375,,0.0,-5.0625,-2.1875,,,,,,100.0,100806.6875
71,15.5,-15.500000000000028,1979-01-03T23:00:00,,,,,,,101241.0,293.4375,,,272.75,-4.75,-1.625,,0.0,-5.0,-2.1875,,,,,,100.0,100765.2421875
72,15.5,-15.500000000000028,1979-01-04T00:00:00,,,,,,,101250.5625,293.375,,,272.875,-4.625,-1.625,,0.0,-5.4375,-2.4375,,,,,,100.0,100774.28125
73,15.5,-15.500000000000028,1979-01-04T01:00:00,,,,,,,101138.625,293.3125,,,272.9375,-4.8125,-1.8125,,0.0,-5.6875,-2.5625,,,,,,100.0,100661.34375
74,15.5,-15.500000000000028,1979-01-04T02:00:00,,,,,,,101063.1875,293.25,,,272.9375,-5.0625,-2.0,,0.0,-5.9375,-2.6875,,,,,,100.0,100585.7109375
75,15.5,-15.500000000000028,1979-01-04T03:00:00,,,,,,,100996.375,288.5625,,,271.125,-5.25,-2.0625,,0.0,-5.625,-2.5625,,,,,,100.0,100519.2890625
76,15.5,-15.500000000000028,1979-01-04T04:00:00,,,,,,,100990.9375,288.0,,,270.75,-5.4375,-2.0625,,0.0,-4.875,-2.1875,,,,,,100.0,100512.296875
77,15.5,-15.500000000000028,1979-01-04T05:00:00,,,,,,,101047.25,287.625,,,270.8125,-5.125,-1.75,,0.0,-3.9375,-1.875,,,,,,100.0,100568.296875
78,15.5,-15.500000000000028,1979-01-04T06:00:00,,,,,,,101069.0,287.3125,,,270.9375,-4.875,-1.625,,0.0,-3.125,-1.75,,,,,,100.0,100589.609375
79,15.5,-15.500000000000028,1979-01-04T07:00:00,,,,,,,101145.0625,287.4375,,,271.125,-4.8125,-1.625,,0.0,-2.4375,-1.5625,,,,,,100.0,100665.015625
80,15.5,-15.500000000000028,1979-01-04T08:00:00,,,,,,,101134.4375,287.8125,,,271.0625,-4.75,-1.6875,,0.0,-1.9375,-1.3125,,,,,,100.0,100654.609375
81,15.5,-15.500000000000028,1979-01-04T09:00:00,,,,,,,101212.5,293.25,,,266.75,-4.3125,-2.0,,0.0,-1.625,-1.3125,,,,,,100.0,100731.5
82,15.5,-15.500000000000028,1979-01-04T10:00:00,,,,,,,101253.0625,300.3125,,,269.4375,-2.9375,-1.9375,,0.0,-0.875,-0.75,,,,,,100.0,100771.6875
83,15.5,-15.500000000000028,1979-01-04T11:00:00,,,,,,,101158.0,304.625,,,273.0,-2.625,-2.125,,0.0,-0.6875,-0.625,,,,,,100.0,100679.265625
84,15.5,-15.500000000000028,1979-01-04T12:00:00,,,,,,,101139.0,304.9375,,,273.25,-2.625,-2.1875,,0.0,-0.5625,-0.5,,,,,,100.0,100661.8828125
85,15.5,-15.500000000000028,1979-01-04T13:00:00,,,,,,,101000.875,305.0,,,273.4375,-2.5625,-2.125,,0.0,-0.3125,-0.3125,,,,,,100.0,100526.734375
86,15.5,-15.500000000000028,1979-01-04T14:00:00,,,,,,,100893.125,304.9375,,,273.8125,-2.0,-1.6875,,0.0,-0.25,-0.25,,,,,,100.0,100419.90625
87,15.5,-15.500000000000028,1979-01-04T15:00:00,,,,,,,100728.5,306.25,,,276.5625,-1.0,-0.875,,0.0,-0.25,-0.25,,,,,,100.0,100257.2734375
88,15.5,-15.500000000000028,1979-01-04T16:00:00,,,,,,,100697.75,306.125,,,276.6875,-0.375,-0.375,,0.0,-0.3125,-0.3125,,,,,,100.0,100226.2890625
89,15.5,-15.500000000000028,1979-01-04T17:00:00,,,,,,,100675.5625,306.0625,,,276.5,0.3125,0.25,,0.0,-0.875,-0.75,,,,,,100.0,100204.515625
90,15.5,-15.500000000000028,1979-01-04T18:00:00,,,,,,,100715.875,304.375,,,273.0625,0.6875,0.625,,0.0,-1.6875,-1.5625,,,,,,100.0,100244.875
91,15.5,-15.500000000000028,1979-01-04T19:00:00,,,,,,,100771.875,303.4375,,,274.3125,0.8125,0.8125,,0.0,-2.5,-2.3125,,,,,,100.0,100300.859375
92,15.5,-15.500000000000028,1979-01-04T20:00:00,,,,,,,100864.9375,302.25,,,272.0,1.4375,1.125,,0.0,-4.0,-2.5,,,,,,100.0,100392.9375
93,15.5,-15.500000000000028,1979-01-04T21:00:00,,,,,,,100916.625,296.5625,,,267.875,2.875,1.5625,,0.0,-5.375,-2.1875,,,,,,100.0,100443.78125
94,15.5,-15.500000000000028,1979-01-04T22:00:00,,,,,,,100976.5625,295.5625,,,272.0625,2.6875,1.5625,,0.0,-6.0625,-2.375,,,,,,100.0,100501.8671875
95,15.5,-15.500000000000028,1979-01-04T23:00:00,,,,,,,100970.0,294.8125,,,274.4375,2.5625,1.5,,0.0,-6.0,-2.3125,,,,,,100.0,100494.75
96,15.5,-15.500000000000028,1979-01-05T00:00:00,,,,,,,100957.3125,294.0625,,,274.875,2.0,1.3125,,0.0,-5.875,-2.1875,,,,,,100.0,100480.390625
